frame,frame_time_ms,fps,triangle_count,vertex_count,draw_calls,vram_bytes
137,0.2716,3681.6005,44654,133962,1,0
138,0.2746,3641.3158,44654,133962,1,0
139,0.2748,3639.4605,44654,133962,1,0
140,0.2734,3657.8719,44654,133962,1,0
141,0.2742,3647.4386,44654,133962,1,0
142,0.2711,3688.4173,44654,133962,1,0
143,0.2691,3716.5741,44654,133962,1,0
144,0.2829,3534.8055,44654,133962,1,0
145,0.2809,3559.8844,44654,133962,1,0
146,0.2729,3664.4399,44654,133962,1,0
147,0.2751,3635.3457,44654,133962,1,0
148,0.2794,3579.5593,44654,133962,1,0
149,0.2737,3653.5820,44654,133962,1,0
150,0.2724,3670.5060,44654,133962,1,0
151,0.2732,3660.6839,44654,133962,1,0
152,0.2751,3635.4779,44654,133962,1,0
153,0.2746,3641.5810,44654,133962,1,0
154,0.2763,3618.8615,44654,133962,1,0
155,0.2684,3725.8518,44654,133962,1,0
156,0.2817,3549.6363,44654,133962,1,0
157,0.2780,3597.3552,44654,133962,1,0
158,0.2771,3608.5320,44654,133962,1,0
159,0.2810,3558.7442,44654,133962,1,0
160,0.2673,3741.2268,44654,133962,1,0
161,0.2740,3649.9814,44654,133962,1,0
162,0.2684,3725.4493,44654,133962,1,0
163,0.2701,3701.9487,44654,133962,1,0
164,0.2661,3757.9857,44654,133962,1,0
165,0.2675,3737.9964,44654,133962,1,0
166,0.2765,3616.7804,44654,133962,1,0
167,0.2783,3592.6896,44654,133962,1,0
168,0.2790,3584.1780,44654,133962,1,0
169,0.2754,3630.5811,44654,133962,1,0
170,0.2714,3684.5984,44654,133962,1,0
171,0.2662,3756.2918,44654,133962,1,0
172,0.2647,3778.0473,44654,133962,1,0
173,0.2638,3791.2392,44654,133962,1,0
174,0.2655,3766.9182,44654,133962,1,0
175,0.2675,3738.4156,44654,133962,1,0
176,0.2639,3788.8116,44654,133962,1,0
177,0.2764,3618.4687,44654,133962,1,0
178,0.2693,3713.8135,44654,133962,1,0
179,0.2702,3700.4418,44654,133962,1,0
180,0.2813,3554.8225,44654,133962,1,0
181,0.3101,3224.8390,44654,133962,1,0
182,0.2698,3706.9026,44654,133962,1,0
183,0.2619,3818.6595,44654,133962,1,0
184,0.2610,3830.9626,44654,133962,1,0
185,0.2633,3797.7328,44654,133962,1,0
186,0.3045,3284.3743,44654,133962,1,0
187,0.2679,3732.9730,44654,133962,1,0
188,0.2751,3634.6851,44654,133962,1,0
189,0.2911,3434.6911,44654,133962,1,0
190,0.2786,3588.8215,44654,133962,1,0
191,0.2853,3505.3772,44654,133962,1,0
192,0.2737,3654.2495,44654,133962,1,0
193,0.2716,3682.1563,44654,133962,1,0
194,0.2679,3732.8336,44654,133962,1,0
195,0.2987,3347.3700,44654,133962,1,0
196,0.2789,3585.2060,44654,133962,1,0
197,0.2630,3802.5127,44654,133962,1,0
198,0.2655,3765.9252,44654,133962,1,0
199,0.2677,3736.0552,44654,133962,1,0
200,0.2662,3756.5740,44654,133962,1,0
201,0.2658,3761.6753,44654,133962,1,0
202,0.2690,3717.6794,44654,133962,1,0
203,0.2995,3339.0877,44654,133962,1,0
204,0.2900,3448.2164,44654,133962,1,0
205,0.2805,3564.5922,44654,133962,1,0
206,0.2803,3567.1353,44654,133962,1,0
207,0.2622,3813.5626,44654,133962,1,0
208,0.2601,3844.0987,44654,133962,1,0
209,0.2608,3834.9440,44654,133962,1,0
210,0.2619,3818.6595,44654,133962,1,0
211,0.2668,3747.9574,44654,133962,1,0
212,0.2650,3773.7700,44654,133962,1,0
213,0.2548,3924.3541,44654,133962,1,0
214,0.2651,3772.6168,44654,133962,1,0
215,0.2552,3918.3418,44654,133962,1,0
216,0.2703,3700.0311,44654,133962,1,0
217,0.2826,3538.5579,44654,133962,1,0
218,0.2682,3728.6442,44654,133962,1,0
219,0.2606,3836.8568,44654,133962,1,0
220,0.2680,3731.8446,44654,133962,1,0
221,0.2638,3790.6644,44654,133962,1,0
222,0.2628,3804.5381,44654,133962,1,0
223,0.2626,3807.8846,44654,133962,1,0
224,0.2652,3770.3410,44654,133962,1,0
225,0.2610,3831.8434,44654,133962,1,0
226,0.2641,3786.6453,44654,133962,1,0
227,0.2614,3825.8328,44654,133962,1,0
228,0.2545,3929.9216,44654,133962,1,0
229,0.2724,3671.0450,44654,133962,1,0
230,0.2626,3808.0296,44654,133962,1,0
231,0.2555,3913.5880,44654,133962,1,0
232,0.2699,3705.2544,44654,133962,1,0
233,0.2548,3924.6622,44654,133962,1,0
234,0.2573,3886.3174,44654,133962,1,0
235,0.2636,3792.9792,44654,133962,1,0
236,0.2699,3705.3917,44654,133962,1,0
237,0.2840,3520.7053,44654,133962,1,0
238,0.2589,3863.1368,44654,133962,1,0
239,0.2561,3904.4046,44654,133962,1,0
240,0.2587,3864.7940,44654,133962,1,0
241,0.2585,3868.0829,44654,133962,1,0
242,0.2567,3896.0229,44654,133962,1,0
243,0.2523,3963.4726,44654,133962,1,0
244,0.2515,3975.7796,44654,133962,1,0
245,0.2582,3873.3417,44654,133962,1,0
246,0.2570,3890.8538,44654,133962,1,0
247,0.2578,3878.3140,44654,133962,1,0
248,0.2619,3818.3679,44654,133962,1,0
249,0.2540,3936.8994,44654,133962,1,0
250,0.2499,4002.2573,44654,133962,1,0
251,0.2461,4062.8606,44654,133962,1,0
252,0.2516,3974.6734,44654,133962,1,0
253,0.2525,3960.1608,44654,133962,1,0
254,0.2723,3672.5415,44654,133962,1,0
255,0.3060,3267.6001,44654,133962,1,0
256,0.2679,3733.2378,44654,133962,1,0
257,0.2590,3860.3033,44654,133962,1,0
258,0.2569,3892.3682,44654,133962,1,0
259,0.2604,3840.9833,44654,133962,1,0
260,0.2604,3840.1131,44654,133962,1,0
261,0.2677,3735.4830,44654,133962,1,0
262,0.2655,3766.2088,44654,133962,1,0
263,0.2588,3864.1967,44654,133962,1,0
264,0.2525,3960.1765,44654,133962,1,0
265,0.2587,3865.6905,44654,133962,1,0
266,0.2924,3419.3996,44654,133962,1,0
267,0.2627,3807.1453,44654,133962,1,0
268,0.2459,4065.9993,44654,133962,1,0
269,0.2487,4020.7956,44654,133962,1,0
270,0.2657,3763.3741,44654,133962,1,0
271,0.2488,4018.6788,44654,133962,1,0
272,0.2555,3913.8943,44654,133962,1,0
273,0.2635,3794.8504,44654,133962,1,0
274,0.2701,3702.6478,44654,133962,1,0
275,0.2664,3753.8947,44654,133962,1,0
276,0.2441,4096.8831,44654,133962,1,0
277,0.2524,3961.4315,44654,133962,1,0
278,0.2527,3956.8701,44654,133962,1,0
279,0.2908,3439.1798,44654,133962,1,0
280,0.2586,3866.3032,44654,133962,1,0
281,0.2528,3955.1486,44654,133962,1,0
282,0.2492,4012.8733,44654,133962,1,0
283,0.2420,4132.3168,44654,133962,1,0
284,0.2541,3935.6443,44654,133962,1,0
285,0.2533,3948.4179,44654,133962,1,0
286,0.2536,3942.7979,44654,133962,1,0
287,0.2556,3911.5979,44654,133962,1,0
288,0.2559,3907.9292,44654,133962,1,0
289,0.2488,4018.6950,44654,133962,1,0
290,0.2499,4000.8002,44654,133962,1,0
291,0.2541,3934.8700,44654,133962,1,0
292,0.2803,3567.5298,44654,133962,1,0
293,0.2630,3801.6309,44654,133962,1,0
294,0.2574,3885.0944,44654,133962,1,0
295,0.2520,3968.9785,44654,133962,1,0
296,0.2484,4025.9756,44654,133962,1,0
297,0.2638,3791.2536,44654,133962,1,0
298,0.2674,3740.2333,44654,133962,1,0
299,0.2945,3395.7818,44654,133962,1,0
